id,summary
15,"O Decreto nº 8.375, de 11 de dezembro de 2014, estabelece a Política Agrícola para Florestas Plantadas, definindo princípios, objetivos e diretrizes para atividades relacionadas à produção, processamento e comercialização de produtos florestais. Ele considera como florestas plantadas aquelas compostas principalmente por árvores cultivadas economicamente. A política visa aumentar a produção e produtividade dessas florestas, promover o uso sustentável de seus recursos, mitigar os efeitos das mudanças climáticas, entre outros objetivos. O Ministério da Agricultura coordenará sua implementação, incluindo a elaboração do Plano Nacional de Desenvolvimento de Florestas Plantadas (PNDF)."
16,"O Decreto Nº 6.041, de 8 de fevereiro de 2007, institui a Política de Desenvolvimento da Biotecnologia no Brasil e cria o Comitê Nacional de Biotecnologia. O objetivo central é criar um ambiente propício para o desenvolvimento de produtos e processos biotecnológicos inovadores, estimulando a eficiência da estrutura produtiva nacional, aumentando a capacidade de inovação das empresas brasileiras, absorvendo tecnologias, gerando negócios e expandindo as exportaçõesA política é estruturada em torno de várias áreas setoriais, como Saúde Humana, Agropecuária, Industrial e Ambiental, com diretrizes específicas para promover a biotecnologia nessas áreas. Estas incluem o desenvolvimento de produtos estratégicos para saúde humana, produtos agropecuários para a segurança alimentar, e produtos industriais e ambientais que visam a sustentabilidade e a competitividade. Além disso, o decreto delineia ações estruturantes para fortalecer a biotecnologia no Brasil, abordando aspectos como investimentos, recursos humanos e infraestrutura. O documento também realça a importância da ética e biossegurança, o respeito pelos direitos das comunidades tradicionais e povos indígenas, e a necessidade de um marco regulatório que facilite o desenvolvimento competitivo de produtos biotecnológicos no mercado nacional e internacional."
17,"O Decreto nº 7.352, de 4 de novembro de 2010, trata da política de educação do campo e do Programa Nacional de Educação na Reforma Agrária (PRONERA). Ele estabelece que a política de educação do campo visa ampliar e melhorar a oferta de educação básica e superior às populações do campo, em colaboração com os Estados, o Distrito Federal e os Municípios. Define populações do campo e escolas do campo, estipulando princípios e objetivos para a educação nesse contexto. Além disso, estabelece a criação e implementação de mecanismos para garantir a educação do campo nas políticas públicas educacionais, incluindo apoio técnico e financeiro aos entes federados. O PRONERA integra essa política, visando oferecer educação formal aos beneficiários da reforma agrária, melhorar suas condições de acesso à educação, bem como promover melhorias nos assentamentos rurais por meio da qualificação dos beneficiários e dos profissionais envolvidos."
18,"O Decreto nº 7.274, de 25 de agosto de 2010, aborda a Política de Ensino de Defesa (PEnsD). Ele estabelece que os órgãos e entidades da administração pública federal devem considerar a implementação dessa política em seus planejamentos. A PEnsD tem como objetivo geral incrementar o estudo de temas de interesse da defesa nacional na sociedade, especialmente no meio acadêmico, capacitando recursos humanos conforme as necessidades nessa área. Além disso, define objetivos específicos da PEnsD, como cooperação na área de ensino de defesa com outros países, difusão de assuntos de interesse da defesa nacional no meio acadêmico civil e capacitação de recursos humanos da área de inteligência. Os órgãos envolvidos na elaboração dos atos complementares à execução da PEnsD devem observar diretrizes como cooperar com instituições envolvidas em atividades de estudos de interesse da defesa nacional e atender às demandas da Política e da Estratégia Nacional de Defesa. O Ministério da Defesa, em coordenação com o Ministério da Educação e as Forças Armadas, será responsável por elaborar os atos complementares para execução da PEnsD."
19,"O Decreto nº 9.203, de 22 de novembro de 2017, versa sobre a política de governança da administração pública federal direta, autárquica e fundacional. Esse decreto define governança pública como o conjunto de mecanismos de liderança, estratégia e controle usados para avaliar, direcionar e monitorar a gestão, visando à condução de políticas públicas e à prestação de serviços de interesse da sociedade.Princípios como capacidade de resposta, integridade, confiabilidade, melhoria regulatória, prestação de contas e transparência são estabelecidos para orientar a governança pública. Além disso, são delineadas diretrizes para direcionar ações que busquem resultados para a sociedade, promover a simplificação administrativa, monitorar o desempenho e articular instituições para melhorar a integração entre diferentes níveis e esferas do setor público, entre outras.O decreto também institui o Comitê Interministerial de Governança (CIG) para assessorar o Presidente da República na condução da política de governança da administração pública federal, composto pelos Ministros de Estado Chefe da Casa Civil da Presidência da República, da Fazenda, do Planejamento, Desenvolvimento e Gestão, e da Transparência e Controladoria-Geral da União. Este comitê tem competências como propor medidas e monitorar a aplicação das melhores práticas de governança.Além disso, o decreto estabelece a obrigatoriedade para os órgãos e entidades da administração pública federal direta, autárquica e fundacional de instituírem comitê interno de governança, visando garantir que as boas práticas de governança se desenvolvam de forma contínua e progressiva.Outros pontos abordados incluem a gestão de riscos, a auditoria interna governamental, a instituição de programa de integridade, entre outros aspectos relacionados à melhoria da eficiência e transparência na administração pública federal."
20,"O Decreto nº 8.638, de 15 de janeiro de 2016, institui a Política de Governança Digital no âmbito dos órgãos e das entidades da administração pública federal direta, autárquica e fundacional. Essa política visa gerar benefícios para a sociedade através do uso da informação e recursos de tecnologia da informação e comunicação na prestação de serviços públicos, estimular a participação da sociedade na formulação, implementação, monitoramento e avaliação das políticas públicas e serviços públicos disponibilizados em meio digital, e assegurar a obtenção de informações pela sociedade, respeitando as restrições legalmente previstas.Alguns termos são definidos no decreto, como autosserviço, dados em formato aberto, governança digital, Plano Diretor de Tecnologia da Informação e Comunicação, rede de conhecimento e tecnologia da informação e comunicação.Os princípios que regem a Política de Governança Digital incluem foco nas necessidades da sociedade, abertura e transparência, compartilhamento da capacidade de serviço, simplicidade, priorização de serviços públicos digitais, segurança e privacidade, participação e controle social, governo como plataforma e inovação.Os órgãos e entidades da administração pública federal devem planejar e executar programas, projetos e processos digitais seguindo diretrizes como priorizar o autosserviço, oferecer canais digitais de participação social, disponibilizar dados em formato aberto, promover o reuso de dados e compartilhar dados entre órgãos e entidades sempre que necessário.O Ministro de Estado do Planejamento, Orçamento e Gestão é responsável por editar a Estratégia de Governança Digital (EGD) da administração pública federal, que define objetivos estratégicos, metas, indicadores e iniciativas da política e orienta programas, projetos, serviços, sistemas e atividades relacionadas.Para formulação da EGD, é considerado o alinhamento com políticas e programas do Governo federal e a participação da sociedade e órgãos públicos. A coordenação da formulação, monitoramento, avaliação e revisão da EGD é feita pelo Ministério do Planejamento, Orçamento e Gestão.Além disso, os órgãos devem manter um Comitê de Governança Digital para deliberar sobre assuntos relacionados à governança digital. A elaboração de instrumentos de planejamento, como o Plano Diretor de Tecnologia da Informação e Comunicação e o instrumento de planejamento de segurança da informação e comunicação, depende de manifestação favorável do Comitê de Governança Digital.O decreto também estabelece redes de conhecimento sobre governança digital e temas correlatos, abertas à participação de qualquer cidadão interessado, coordenadas pelo Ministério do Planejamento, Orçamento e Gestão.Por fim, o decreto traz alterações ao Decreto nº 6.932, de 11 de agosto de 2009, e revoga outros decretos anteriores relacionados ao tema."
21,"O Decreto nº 8.129, de 23 de outubro de 2013, institui a política de livre acesso ao Subsistema Ferroviário Federal e estabelece diretrizes para a atuação da Valec - Engenharia, Construções e Ferrovias S.A. nesse contexto, visando o desenvolvimento do setor ferroviário e a promoção da competição entre os operadores ferroviários.Essa política tem como diretrizes a separação entre as outorgas para exploração da infraestrutura ferroviária e para a prestação de serviços de transporte ferroviário, garantindo o acesso de usuários e operadores ferroviários a toda malha integrante do Subsistema Ferroviário Federal, remuneração dos custos fixos e variáveis da concessão para exploração da infraestrutura e gerenciamento da capacidade de transporte pela Valec.Compete à Valec fomentar o desenvolvimento dos sistemas de transporte ferroviário de cargas, planejando, administrando e executando programas de exploração da capacidade de transporte das ferrovias sob sua responsabilidade, adquirindo e vendendo o direito de uso da capacidade de transporte de ferrovias exploradas por terceiros, expandindo a capacidade de transporte no Subsistema Ferroviário Federal e promovendo a integração das malhas e interoperabilidade da infraestrutura ferroviária.A Valec deverá adquirir o direito de uso da capacidade de transporte das ferrovias concedidas a partir da publicação do Decreto para assegurar o livre acesso ao Subsistema Ferroviário Federal, promovendo a modicidade tarifária e a oferta ampla e livre da capacidade de transporte.O decreto também estabelece medidas que a Valec pode tomar no exercício de suas atribuições, como adquirir parte ou toda a capacidade de transporte de ferrovias concedidas, antecipar recursos para concessionários, dar garantias em seu benefício direto, monitorar projetos e obras em ferrovias adquiridas e investir no Subsistema Ferroviário Federal.Além disso, o Poder Concedente pode determinar aos concessionários a ampliação da capacidade das ferrovias já concedidas para garantir o atendimento da demanda por transporte, assegurando o equilíbrio econômico-financeiro da concessão.O Decreto entrou em vigor na data de sua publicação, em 23 de outubro de 2013."
22,"O Decreto nº 7.294, de 6 de setembro de 2010, trata da Política de Mobilização Nacional. Ele estabelece que os órgãos e entidades da administração pública federal devem considerar em seus planejamentos as ações que contribuam para o fortalecimento do Sistema Nacional de Mobilização (SINAMOB). Este decreto entra em vigor na data de sua publicação."
23,"O Decreto nº 3.505, de 13 de junho de 2000, institui a Política de Segurança da Informação nos órgãos e nas entidades da Administração Pública Federal. Este decreto estabelece diretrizes e objetivos para garantir a confidencialidade, integridade, autenticidade, não-repúdio e disponibilidade dos dados e das informações tratadas, classificadas e sensíveis. Ele também define a criação do Comitê Gestor da Segurança da Informação, composto por representantes de diversos Ministérios e órgãos, com o objetivo de assessorar a Secretaria-Executiva do Conselho de Defesa Nacional na implementação e avaliação da política de segurança da informação. O decreto entra em vigor na data de sua publicação."
25,"Esse texto parece ser um decreto que aprova a Política Marítima Nacional (PMN) no Brasil, datado de 25 de janeiro de 1984. Ele estabelece uma série de diretrizes, objetivos e ações a serem realizadas para orientar o desenvolvimento das atividades marítimas do país.A PMN visa à utilização efetiva, racional e plena dos mares e das hidrovias interiores, alinhada com os interesses nacionais e em harmonia com as políticas de desenvolvimento e segurança. Ela abrange diversos campos, como relações internacionais, transporte aquaviário, construção naval, pesquisa e desenvolvimento, recursos do mar, pessoal e segurança.Os objetivos da PMN incluem o desenvolvimento de uma mentalidade marítima nacional, a compatibilização entre as várias atividades marítimas, a pesquisa e desenvolvimento de tecnologia nacional, a exploração racional dos recursos marinhos, a produção nacional de navios e equipamentos, a otimização do transporte hidroviário, a proteção do meio ambiente marinho, entre outros.As ações a serem realizadas abrangem desde identificar as posições do país em relação a atos internacionais até incentivar a implantação de instituições de ensino no campo das atividades marítimas, passando por medidas para o desenvolvimento da construção naval, pesquisa e exploração de recursos marinhos, e garantia da segurança das atividades marítimas e dos interesses nacionais nos mares.É um documento extenso que estabelece uma ampla gama de diretrizes e planos para orientar o desenvolvimento das atividades marítimas no Brasil."
26,"O Decreto Nº 4.345, de 26 de agosto de 2002, estabelece a Política Nacional Antidrogas no Brasil, com o objetivo de criar diretrizes e estratégias abrangentes para enfrentar os problemas decorrentes do uso indevido de drogas. Esta política foca em várias frentes, incluindo prevenção, tratamento, recuperação, reintegração social, redução de danos à saúde e sociais, e repressão ao tráficoA Política Nacional Antidrogas reconhece o uso precoce de drogas entre jovens e adolescentes como uma preocupação crescente, citando dados de pesquisas que indicam um alto consumo de substâncias psicoativas nesta faixa etária. O decreto também ressalta o impacto negativo do uso de drogas na população economicamente ativa, contribuindo para acidentes de trabalho e redução da produtividade.O Sistema Nacional Antidrogas (SISNAD) é reestruturado sob este decreto para fortalecer a cooperação entre o Estado e a sociedade no combate ao uso de drogas. O sistema adota uma abordagem de responsabilidade compartilhada, enfatizando a importância da municipalização das ações antidrogas para alcançar comunidades locais de maneira mais eficaz.A política delineia diretrizes claras para a redução da demanda e oferta de drogas, aprimoramento das legislações relevantes, e intensificação da cooperação internacional. Além disso, reconhece a necessidade de tratar usuários de drogas de maneira diferenciada, evitar discriminação e garantir a eles acesso a tratamento adequado.Por fim, o decreto destaca a importância da educação e conscientização sobre os perigos do uso indevido de drogas e a necessidade de implementar programas preventivos e terapêuticos eficazes, bem como estratégias de reintegração social para usuários e dependentes."
27,"O Decreto Nº 4.339, de 22 de agosto de 2002, estabelece os princípios e diretrizes para a implementação da Política Nacional da Biodiversidade no Brasil. Esse decreto reforça o compromisso do país com os objetivos da Convenção sobre Diversidade Biológica, adotada na CNUMAD em 1992, e destaca a importância de estratégias, políticas, planos e programas nacionais voltados para a biodiversidadeA política se rege por princípios que valorizam a biodiversidade independentemente de seu uso potencial para o homem, ressaltando a responsabilidade das nações em conservar sua biodiversidade e evitar danos ao meio ambiente de outras nações. Destaca também a necessidade de cooperação internacional, especialmente com países em desenvolvimento, para prover recursos financeiros e acesso a tecnologias pertinentes.O decreto estabelece diretrizes detalhadas para a conservação e utilização sustentável dos recursos biológicos, incentivando a participação de todos os setores da sociedade e a integração de esforços em níveis federal, estadual, municipal e com a sociedade civil. O objetivo geral é promover a conservação da biodiversidade e a utilização sustentável de seus componentes, assegurando a repartição justa e equitativa dos benefícios derivados de seu uso."
28,"O Decreto nº 6.861, de 27 de maio de 2009, aborda a questão da Educação Escolar Indígena no Brasil. O documento estabelece diretrizes e organização para essa modalidade de ensino, reconhecendo a necessidade de respeitar a territorialidade e as especificidades culturais dos povos indígenas. Alguns pontos-chave incluem a valorização das culturas indígenas, o fortalecimento da língua materna de cada comunidade, a formação de pessoal especializado, o desenvolvimento de currículos específicos e a elaboração de material didático diferenciado. O texto também prevê apoio técnico e financeiro do governo para construção de escolas, formação de professores, produção de material didático, entre outras ações. A organização territorial da educação escolar indígena é promovida através da definição de territórios etnoeducacionais, com a participação de diversas entidades e órgãos envolvidos. O Ministério da Educação é responsável por coordenar a implantação, acompanhamento e avaliação da educação escolar indígena, respeitando a autonomia dos entes federativos. O Decreto visa garantir o acesso à educação de qualidade, respeitando a diversidade cultural e linguística dos povos indígenas no Brasil."
30,"O Decreto nº 9.765, de 11 de abril de 2019, institui a Política Nacional de Alfabetização no Brasil. Esta política visa promover a alfabetização baseada em evidências científicas, com o objetivo de melhorar a qualidade da alfabetização no país e combater o analfabetismo absoluto e funcional em todas as etapas da educação básica e na educação não formal. O decreto define termos relacionados à alfabetização, estabelece princípios e objetivos da política, diretrizes para sua implementação, público-alvo e agentes envolvidos. Destaca-se a priorização da alfabetização nos primeiros anos do ensino fundamental, o estímulo à participação das famílias no processo de alfabetização, a valorização do professor alfabetizador e a integração de práticas pedagógicas de linguagem, literacia e numeracia. A implementação da política inclui orientações curriculares, desenvolvimento de materiais didático-pedagógicos, recuperação e remediação para alunos com dificuldades de aprendizagem, promoção de práticas de literacia familiar, entre outros. Além disso, são estabelecidos mecanismos de avaliação e monitoramento da política, visando a eficiência e eficácia dos programas e ações implementados. O Ministério da Educação é responsável pela coordenação estratégica da Política Nacional de Alfabetização, com a colaboração voluntária dos entes federativos, podendo a União prestar assistência técnica e financeira para sua implementação. O decreto entra em vigor na data de sua publicação."
31,"O Decreto Nº 9.739, de 28 de março de 2019, estabelece medidas para a eficiência organizacional e aprimoramento da administração pública federal direta, autárquica e fundacional. Ele também define normas sobre concursos públicos e dispõe sobre o Sistema de Organização e Inovação Institucional do Governo Federal (SIORG)O decreto visa fortalecer a capacidade institucional dos órgãos federais, por meio da reorganização estrutural, criação e extinção de cargos e entidades, e realização de concursos públicos. Ele enfatiza a importância da eficiência, eficácia, e efetividade administrativa, orientada para resultados e racionalização de níveis hierárquicos.As propostas de atos relacionadas às medidas do decreto devem ser encaminhadas ao Ministério da Economia e, quando necessário, à Casa Civil para análise de sua adequação técnica e orçamentária. O decreto também estipula prazos e procedimentos para a apresentação e instrução dessas propostas, incluindo detalhes sobre o pedido de autorização para concursos públicos e a estimativa de impacto orçamentário.O SIORG é designado como o sistema responsável por integrar e otimizar a organização e inovação institucional, com o objetivo de melhorar o desempenho dos órgãos federais e reduzir custos operacionais."
